Elastic its,Damage its,Newton inner its,FP step,Newton step
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,8,11.084230800977304,14.448728810206893
1,1,8,1.7599172746781984,2.4880014134133903
1,1,9,0.42799110023373926,0.5805615913438309
1,1,8,0.36108971245114885,0.5383746878982749
1,1,8,0.32754620769576986,0.49097069625706546
1,1,8,0.2961164515465071,0.4440509251147618
1,1,8,0.2642083898468207,0.3961939730988795
1,1,8,0.23432079785308296,0.3513718399433965
1,1,8,0.20731213147142236,0.31087784429979964
1,1,8,0.18326128735140373,0.2748221610631531
1,1,8,0.16196881316121647,0.24290145073008362
1,1,8,0.14315973562269252,0.21470210447581764
1,1,8,0.1265557555030028,0.18980686583429116
1,1,7,0.11189909628560069,0.16782970135115644
1,1,7,0.09895830822901856,0.14842412082414672
1,1,7,0.08753000154191558,0.1312856229959062
1,1,7,0.07743359175617252,0.11614379401789685
1,1,7,0.0685111889899855,0.10276214041500076
1,1,7,0.06062411250710926,0.09093288931171123
1,1,7,0.0536505230859123,0.08047345841782981
1,1,6,0.04748330631228739,0.07122330009820917
1,1,6,0.04202809317443526,0.06304094827608801
1,1,6,0.0372021646133182,0.055802384263088985
1,1,6,0.03293223864111105,0.049397727629972646
1,1,6,0.029153813149140038,0.043730254164363616
1,1,6,0.025809977063491356,0.03871461756478392
1,1,6,0.022850491156643133,0.034275473108295956
1,1,6,0.02023098505849636,0.030346275064506423
1,1,6,0.017912256409777418,0.02686822674134518
1,1,6,0.015859657696096596,0.023789361647346314
1,1,6,0.014042558684696246,0.02106373777790225
1,1,6,0.012433874380027611,0.018650729985947936
1,1,6,0.011009649978330894,0.01651440771702921
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,8,11.390999431567996,14.836094526047425
1,1,8,1.8317156407179074,2.5945840616467324
1,1,9,0.454296822095151,0.6150304679269235
1,1,8,0.38073418162657197,0.5676828044377882
1,1,8,0.34580560314035613,0.5183372405488664
1,1,8,0.3133726738659504,0.46991593758436184
1,1,8,0.2802707348504322,0.42026526832274747
1,1,8,0.24914410263790174,0.3735856618326356
1,1,7,0.22093817809665625,0.33129919804392727
1,1,7,0.1957699199610834,0.29357130794005065
1,1,7,0.17345042360645674,0.260113534710439
1,1,7,0.15370005010052892,0.23050500206791036
1,1,7,0.13623146221680504,0.20431493129176223
1,1,7,0.12077788692615937,0.18114392674539362
1,1,7,0.1071009282423447,0.1606352094059039
1,1,7,0.09499063255113344,0.14247454442122243
1,1,7,0.08426293404700397,0.12638637452430798
1,1,7,0.0747565093736075,0.11212911715700943
1,1,7,0.0663297782571401,0.09949069368684801
1,1,7,0.058858266933607115,0.08828460201582847
1,1,7,0.052232354705584794,0.07834655893409093
1,1,6,0.04635536041416714,0.06953164711285202
1,1,6,0.04114182951665184,0.06171175781109673
1,1,6,0.03651649028247327,0.054774035106101016
1,1,6,0.03241250569209657,0.04861825960339206
1,1,6,0.028770800705578976,0.04315584403748616
1,1,6,0.025539067594945904,0.038308344559762675
1,1,6,0.022670973239180953,0.0340062739191492
1,1,6,0.02012546236431138,0.03018805791388109
1,1,5,0.01786614611520613,0.026799119866532897
1,1,5,0.01586083448974142,0.023791177937026904
1,1,5,0.014080747597731494,0.021121066200496155
1,1,5,0.012500636803287852,0.018750913256035125
1,1,5,0.011097990860711376,0.016646953986167137
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,8,11.958412866667043,15.531856214181984
1,1,8,1.9835926978746645,2.8195322993920247
1,1,9,0.5170479974945252,0.699748757284173
1,1,8,0.42896311350103883,0.6398652252238703
1,1,8,0.3900301454808668,0.5846371002050341
1,1,8,0.3544960535179128,0.5315451945549338
1,1,7,0.318237493844417,0.47714985428690077
1,1,7,0.28407580495450857,0.42592103210383186
1,1,7,0.25301062268014096,0.37935469440297964
1,1,7,0.22517128942353778,0.3376304198209837
1,1,7,0.20036751561378577,0.3004557447382202
1,1,7,0.1783179798522162,0.26740654093135335
1,1,7,0.15873121538483556,0.23804568420450492
1,1,7,0.14133304072777106,0.2119627876270682
1,1,7,0.1258748157003276,0.18878593973504168
1,1,7,0.11213469764695427,0.16818332790533996
1,1,7,0.09991627571700866,0.1498611094368422
1,1,7,0.08904625934283375,0.13355994225360637
1,1,7,0.07937192902906838,0.11905118782937996
1,1,7,0.0707586672890223,0.10613324048999898
1,1,7,0.06308770558240434,0.0946281777556487
1,1,7,0.0562541309969163,0.08437879457853494
1,1,7,0.05016515044896509,0.07524601809504021
1,1,6,0.044738589659007,0.06710666984628397
1,1,6,0.039901531887528284,0.0598514330050376
1,1,6,0.03558947884520828,0.05338360196287677
1,1,6,0.0317449279690519,0.04761695227210574
1,1,6,0.028316849725428375,0.04247496050691145
1,1,5,0.025259864864160958,0.03788957263679765
1,1,5,0.022533694572799662,0.03380038083559694
1,1,5,0.02010218099483989,0.03015315585516305
1,1,5,0.0179334770193726,0.026900132240441695
1,1,5,0.01599907755736953,0.023998556151656046
1,1,5,0.014273595715132946,0.0214103499121438
1,1,5,0.012734411970654806,0.019101586132904774
1,1,5,0.011361368052713764,0.017042028753684473
